Название;Ссылка
Senior Python Developer (remote);https://kaliningrad.hh.ru/vacancy/55012554?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Python Developer;https://kaliningrad.hh.ru/vacancy/67446210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер данных;https://kaliningrad.hh.ru/vacancy/67738974?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер данных;https://kaliningrad.hh.ru/vacancy/67738965?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер данных;https://kaliningrad.hh.ru/vacancy/67738995?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер данных;https://kaliningrad.hh.ru/vacancy/67739019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist;https://kaliningrad.hh.ru/vacancy/66729210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер данных;https://kaliningrad.hh.ru/vacancy/67738980?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle fullstack специалист (Python);https://kaliningrad.hh.ru/vacancy/67447254?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Python Developer (remote);https://kaliningrad.hh.ru/vacancy/66494821?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Python Developer;https://kaliningrad.hh.ru/vacancy/67586211?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Python Developer (remote);https://kaliningrad.hh.ru/vacancy/66494816?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Python Developer (remote);https://kaliningrad.hh.ru/vacancy/66494820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Data Scientist;https://kaliningrad.hh.ru/vacancy/67473868?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Python Developer (remote);https://kaliningrad.hh.ru/vacancy/66494817?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Fullstack Python Developer;https://kaliningrad.hh.ru/vacancy/66510272?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Python программист;https://kaliningrad.hh.ru/vacancy/41607887?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Python Developer (remote);https://kaliningrad.hh.ru/vacancy/66494819?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Python Developer (remote);https://kaliningrad.hh.ru/vacancy/66494818?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Python developer (Ds направление);https://kaliningrad.hh.ru/vacancy/67335012?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Специалист по разработке чат-ботов / Chatbot Developer;https://kaliningrad.hh.ru/vacancy/68134760?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer/SRE;https://kaliningrad.hh.ru/vacancy/67452844?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data / ML Engineer (Персонализация);https://kaliningrad.hh.ru/vacancy/55135290?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer (DWH);https://kaliningrad.hh.ru/vacancy/67628619?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Администратор баз данных (DBA);https://kaliningrad.hh.ru/vacancy/66138473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Data Engineer;https://kaliningrad.hh.ru/vacancy/67866747?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data / ML Engineer (Персонализация);https://kaliningrad.hh.ru/vacancy/55135245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps инженер;https://kaliningrad.hh.ru/vacancy/67361922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps engineer;https://kaliningrad.hh.ru/vacancy/68109918?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Технический руководитель на курс “Алгоритмы и структуры данных”;https://kaliningrad.hh.ru/vacancy/66549845?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Системный администратор/DevOps (Linux);https://kaliningrad.hh.ru/vacancy/55050829?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps / DevSecOps Engineer;https://kaliningrad.hh.ru/vacancy/67437945?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Devops;https://kaliningrad.hh.ru/vacancy/68014210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer (удаленно);https://kaliningrad.hh.ru/vacancy/55339833?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Ведущий инженер по автоматизированному тестированию (frontend);https://kaliningrad.hh.ru/vacancy/67611024?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик DWH;https://kaliningrad.hh.ru/vacancy/68172774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик SQL;https://kaliningrad.hh.ru/vacancy/68119168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Devops инженер;https://kaliningrad.hh.ru/vacancy/51859346?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps engineer;https://kaliningrad.hh.ru/vacancy/68150711?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior C++ Developer;https://kaliningrad.hh.ru/vacancy/67439023?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Web Analyst в Skypro;https://kaliningrad.hh.ru/vacancy/67918151?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер по автоматизации тестирования Python, Маркетплейс, Полигоны доставки;https://kaliningrad.hh.ru/vacancy/68229220?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle devops инженер, удаленно;https://kaliningrad.hh.ru/vacancy/67785223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Python Team Lead / Руководитель backend разработки;https://kaliningrad.hh.ru/vacancy/68162336?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer (Middle/Senior);https://kaliningrad.hh.ru/vacancy/68036264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Data / ML Engineer (Персонализация);https://kaliningrad.hh.ru/vacancy/45498560?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data engineer (MY.GAMES);https://kaliningrad.hh.ru/vacancy/68067957?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Techlead / Lead Data Engineer / Data Analyst;https://kaliningrad.hh.ru/vacancy/68078360?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Data Scientist;https://kaliningrad.hh.ru/vacancy/68240119?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Auto QA (Python);https://kaliningrad.hh.ru/vacancy/68120339?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Backend Developer;https://kaliningrad.hh.ru/vacancy/67594099?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
QA инженер в BigData;https://kaliningrad.hh.ru/vacancy/67538513?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Backend+Gameplay Developer;https://kaliningrad.hh.ru/vacancy/67594102?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/55212183?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer (удаленно);https://kaliningrad.hh.ru/vacancy/67128968?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик C;https://kaliningrad.hh.ru/vacancy/67879543?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Руководитель группы разработки (команда Поиск);https://kaliningrad.hh.ru/vacancy/68173430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик систем автоматизации сбора данных (Data Analyst/BI разработчик);https://kaliningrad.hh.ru/vacancy/66742815?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик систем автоматизации сбора данных (Data Analyst/BI разработчик);https://kaliningrad.hh.ru/vacancy/66743011?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Программист/Разработчик информационных систем на Oracle/django (Москва);https://kaliningrad.hh.ru/vacancy/66076649?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
NLP Developer, Remote;https://kaliningrad.hh.ru/vacancy/68032534?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Data / ML Engineer (Персонализация);https://kaliningrad.hh.ru/vacancy/66550537?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик C++ (видео-инфраструктура, backend);https://kaliningrad.hh.ru/vacancy/67412657?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/68254102?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data scientist (Персонализация);https://kaliningrad.hh.ru/vacancy/54829296?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Full Stack developer (python+react/vue);https://kaliningrad.hh.ru/vacancy/68227899?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer;https://kaliningrad.hh.ru/vacancy/67370757?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle data scientist (Рекомендательные системы);https://kaliningrad.hh.ru/vacancy/54692864?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Auto QA (Python);https://kaliningrad.hh.ru/vacancy/68120341?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Auto QA (Python);https://kaliningrad.hh.ru/vacancy/68120343?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Auto QA (Python);https://kaliningrad.hh.ru/vacancy/68120342?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/67257271?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
ML Developer NLP (речевая аналитика) MTS AI;https://kaliningrad.hh.ru/vacancy/66879027?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data аналитик (Big Data);https://kaliningrad.hh.ru/vacancy/55434055?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик алгоритмов компьютерного зрения в команду Видео;https://kaliningrad.hh.ru/vacancy/67053710?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик - математик;https://kaliningrad.hh.ru/vacancy/68058429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior/Middle ML разработчик ASR (МТS AI);https://kaliningrad.hh.ru/vacancy/67475610?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Data Analyst;https://kaliningrad.hh.ru/vacancy/67732918?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Auto QA (Python);https://kaliningrad.hh.ru/vacancy/68120344?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Auto QA (Python);https://kaliningrad.hh.ru/vacancy/68120340?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
QA BI Engineer (Big Data);https://kaliningrad.hh.ru/vacancy/67610992?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
OLAP Разработчик;https://kaliningrad.hh.ru/vacancy/68075257?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/55160557?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist, Поисковый рантайм, NLP;https://kaliningrad.hh.ru/vacancy/55433924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/67854807?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist, Поисковый рантайм, NLP;https://kaliningrad.hh.ru/vacancy/55433917?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик данных/Data analyst;https://kaliningrad.hh.ru/vacancy/54479900?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/55462542?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Старший инженер по автоматизации тестирования Python, ERP и учётные системы;https://kaliningrad.hh.ru/vacancy/67398254?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/67854831?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data-инженер (команда Big Data Infrastructure);https://kaliningrad.hh.ru/vacancy/68001357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Analyst;https://kaliningrad.hh.ru/vacancy/68039569?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior QA automation engineer (ML);https://kaliningrad.hh.ru/vacancy/67130617?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер по автоматизации тестирования Python, Инструменты поддержки, CRM для контрагентов;https://kaliningrad.hh.ru/vacancy/68063169?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
FullStack разработчик (React/Angular/Vue+Python);https://kaliningrad.hh.ru/vacancy/68085237?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Product Analyst / Аналитик данных (Middle+ или Senior);https://kaliningrad.hh.ru/vacancy/67491805?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer middle (удаленно);https://kaliningrad.hh.ru/vacancy/67917905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist (Telco);https://kaliningrad.hh.ru/vacancy/67968635?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Midlle/Senior Auto QA (Web Python);https://kaliningrad.hh.ru/vacancy/68024436?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/66233581?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/67854802?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
QA automation;https://kaliningrad.hh.ru/vacancy/55143697?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
С++ разработчик в Справочник;https://kaliningrad.hh.ru/vacancy/67514073?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик SQL;https://kaliningrad.hh.ru/vacancy/52274031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик DWH;https://kaliningrad.hh.ru/vacancy/66877683?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Web Developer (Python, JavaScript);https://kaliningrad.hh.ru/vacancy/67747134?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Data scientist (Promo Optimization);https://kaliningrad.hh.ru/vacancy/66774735?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/47155956?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Бэкенд разработчик;https://kaliningrad.hh.ru/vacancy/67712824?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer (ETL);https://kaliningrad.hh.ru/vacancy/67450569?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/67831356?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик-разработчик;https://kaliningrad.hh.ru/vacancy/67527934?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Full Stack Developer (Python, JS);https://kaliningrad.hh.ru/vacancy/51727227?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик ETL;https://kaliningrad.hh.ru/vacancy/67660488?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Backend Developer;https://kaliningrad.hh.ru/vacancy/67095334?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer / ETL-engineer (Middle);https://kaliningrad.hh.ru/vacancy/67762108?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик Oracle/Data Engineer;https://kaliningrad.hh.ru/vacancy/66957302?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик базы данных (middle / senior), remote;https://kaliningrad.hh.ru/vacancy/55066643?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle Data Engineer;https://kaliningrad.hh.ru/vacancy/67539214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик DWH;https://kaliningrad.hh.ru/vacancy/67513438?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Analyst;https://kaliningrad.hh.ru/vacancy/66516806?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer;https://kaliningrad.hh.ru/vacancy/67034110?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer (удаленно);https://kaliningrad.hh.ru/vacancy/67613886?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Automation QA engineer (Python) e-Navigation;https://kaliningrad.hh.ru/vacancy/67416410?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
SRE/DevOps инженер;https://kaliningrad.hh.ru/vacancy/67715329?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer / ETL-engineer (middle);https://kaliningrad.hh.ru/vacancy/67762016?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Learning DevOps Engineer;https://kaliningrad.hh.ru/vacancy/67804005?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
ML инженер;https://kaliningrad.hh.ru/vacancy/67588392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior ML-инженер;https://kaliningrad.hh.ru/vacancy/54825677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер SQL/jun data engineer в Golden Record (Big Data);https://kaliningrad.hh.ru/vacancy/67607968?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Web Developer (Python, JavaScript) remote;https://kaliningrad.hh.ru/vacancy/50187671?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Python Backend Engineer;https://kaliningrad.hh.ru/vacancy/67354153?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Team Lead Python Developer HR TECH;https://kaliningrad.hh.ru/vacancy/67620570?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps Engineer;https://kaliningrad.hh.ru/vacancy/67033909?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior QA Automation engineer (Python);https://kaliningrad.hh.ru/vacancy/55549932?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps - специалист;https://kaliningrad.hh.ru/vacancy/66771415?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data engineer/Дата инженер(ГПХ);https://kaliningrad.hh.ru/vacancy/55072333?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Backend developer (Python);https://kaliningrad.hh.ru/vacancy/54653040?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
QA automation engineer (Python) / Инженер по автоматизации тестирования;https://kaliningrad.hh.ru/vacancy/67623249?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
QA automation engineer (Python) / Инженер по автоматизации тестирования;https://kaliningrad.hh.ru/vacancy/67623247?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Back-end разработчик;https://kaliningrad.hh.ru/vacancy/67415921?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data scientist (розничные риски);https://kaliningrad.hh.ru/vacancy/66187744?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер Linux / Администратор Elasticsearch;https://kaliningrad.hh.ru/vacancy/67576717?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Engineer;https://kaliningrad.hh.ru/vacancy/66539719?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
SAS разработчик;https://kaliningrad.hh.ru/vacancy/67380253?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Strong Middle Data Scientist [Surge Pricing];https://kaliningrad.hh.ru/vacancy/67399907?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Python разработчик (Junior);https://kaliningrad.hh.ru/vacancy/68101643?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Python Django разработчик, удаленно;https://kaliningrad.hh.ru/vacancy/68003921?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data steward / Аналитик данных;https://kaliningrad.hh.ru/vacancy/68160628?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist;https://kaliningrad.hh.ru/vacancy/67926576?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Python developer (Django);https://kaliningrad.hh.ru/vacancy/66108671?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Программист Python;https://kaliningrad.hh.ru/vacancy/66546162?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер данных / Аналитик данных;https://kaliningrad.hh.ru/vacancy/54981133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик SQL;https://kaliningrad.hh.ru/vacancy/67850070?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Analyst (Game);https://kaliningrad.hh.ru/vacancy/67514056?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик данных / продукта (Поисковый движок);https://kaliningrad.hh.ru/vacancy/67619831?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Junior python разработчик;https://kaliningrad.hh.ru/vacancy/67753524?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик (Backend developer / Junior data scientist);https://kaliningrad.hh.ru/vacancy/67773422?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Cтажёр-разработчик автоматизированных тестов;https://kaliningrad.hh.ru/vacancy/67876403?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Стажер Дата аналитик;https://kaliningrad.hh.ru/vacancy/67752799?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Junior Data Scientist (Promo Forecast);https://kaliningrad.hh.ru/vacancy/55895592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик Python;https://kaliningrad.hh.ru/vacancy/67714821?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
NLP/ML разработчик в проектную команду (MTS AI);https://kaliningrad.hh.ru/vacancy/67174246?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Программист Python;https://kaliningrad.hh.ru/vacancy/67288343?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик (Python);https://kaliningrad.hh.ru/vacancy/66628267?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Python разработчик;https://kaliningrad.hh.ru/vacancy/67345953?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist (DataLab);https://kaliningrad.hh.ru/vacancy/66122051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist/ML;https://kaliningrad.hh.ru/vacancy/67649246?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Machine Learning Engineer (ML, Infrastructure);https://kaliningrad.hh.ru/vacancy/66545425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist;https://kaliningrad.hh.ru/vacancy/66903198?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Дата аналитик;https://kaliningrad.hh.ru/vacancy/67404492?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data (Product) analyst / Аналитик данных (продуктовый);https://kaliningrad.hh.ru/vacancy/54201598?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Руководитель IT-отдела / Team Lead;https://kaliningrad.hh.ru/vacancy/67601731?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Scientist;https://kaliningrad.hh.ru/vacancy/68185641?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps инженер (bare metal);https://kaliningrad.hh.ru/vacancy/55529635?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior Backend Engineer;https://kaliningrad.hh.ru/vacancy/67585983?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Ведущий разработчик С++;https://kaliningrad.hh.ru/vacancy/67779149?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Release - инженер;https://kaliningrad.hh.ru/vacancy/67982473?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps engineer;https://kaliningrad.hh.ru/vacancy/68129905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior C++ developer-generalist;https://kaliningrad.hh.ru/vacancy/67399800?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Администратор баз данных Oracle;https://kaliningrad.hh.ru/vacancy/68240239?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Системный администратор Linux / VoIP;https://kaliningrad.hh.ru/vacancy/68044449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Game Analyst;https://kaliningrad.hh.ru/vacancy/67787212?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Data Quality analyst;https://kaliningrad.hh.ru/vacancy/55483702?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Разработчик-Аналитик;https://kaliningrad.hh.ru/vacancy/67685579?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Middle/Senior Analyst (remote);https://kaliningrad.hh.ru/vacancy/68143190?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
NodeJS (Backend) разработчик (Middle);https://kaliningrad.hh.ru/vacancy/67888686?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик;https://kaliningrad.hh.ru/vacancy/67583082?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Системный администратор/ DevOps инженер;https://kaliningrad.hh.ru/vacancy/67469265?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps-инженер;https://kaliningrad.hh.ru/vacancy/68199214?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Инженер по внедрению и техподдержке телекоммуникационного биллинга (удаленно);https://kaliningrad.hh.ru/vacancy/67689572?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Преподаватель в школу программирования для детей;https://kaliningrad.hh.ru/vacancy/67857202?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Аналитик данных (Мобильное приложение);https://kaliningrad.hh.ru/vacancy/68168197?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Архитектор КХД;https://kaliningrad.hh.ru/vacancy/66081411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Marketing Analyst в Skypro;https://kaliningrad.hh.ru/vacancy/67717876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Системный администратор Linux;https://kaliningrad.hh.ru/vacancy/52303658?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
DevOps-инженер;https://kaliningrad.hh.ru/vacancy/68199215?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
Senior DevOps Engineer (Serbia/Canada);https://kaliningrad.hh.ru/vacancy/67754718?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python
