Код;Наименование;ИНН;КПП;Адрес;Телефон;email;Сайт;Дополнительно
3316;Межрайонная ИФНС России № 11 по Владимирской области;3316300599;331601001;,601010,Владимирская обл,,Киржач г,,Некрасовская ул,18А,,;Тел. справочной службы: Киржач: +7 (49237) 2-18-22, Петушки (ТОР;i3316@m16.r33.nalog.ru;-;"Код ОКПО:70976234 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3326;Межрайонная ИФНС России № 3 по Владимирской области;3326002506;332601001;,601800,Владимирская обл,,Юрьев-Польский г,,Шибанкова ул,45,,;Тел.справочной службы : +7 (49246) 2-39-05;i3326@m26.r33.nalog.ru;-;"Код ОКПО:75633310 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3327;Межрайонная ИФНС России № 12 по Владимирской области;3327102084;332701001;,600001,,,Владимир г,,Садовая ул,16б,,;Тел. Справочной службы: +7 (4922) 36-64-18;i3327@m27.r33.nalog.ru;-;"Переименована Код ОКПО:32961103 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3328;ИФНС России по Октябрьскому району г.Владимира;3328009708;332801001;,600005,,,Владимир г,,1 Коллективный проезд,2а,,;Тел.справочной службы: +7 (4922) 53-37-22, +7 (4922) 42-29-75;i3328@m28.r33.nalog.ru;-;"Код ОКПО:32960948 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3332;Межрайонная ИФНС России № 2 по Владимирской области.;3305033052;330501001;,601914,Владимирская обл,,Ковров г,,Комсомольская ул,116а,,;Тел.для справок: (49232) 3-44-92;i3332@m32.r33.nalog.ru;-;"Код ОКПО:54616816 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3334;Межрайонная ИФНС России № 4 по Владимирской области;3307020362;333401001;,602267,Владимирская обл,,Муром г,,Свердлова ул,33,,;Тел.справочной службы: +7 (49234) 2-07-32;i3334@m34.r33.nalog.ru;-;"Код ОКПО:75635302 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3339;Межрайонная ИФНС России № 9 по Владимирской области;3301014700;330101001;,601650,Владимирская обл,,Александров г,,Институтская ул,8,,;Тел.справочной службы : +7 (49244) 2-50-28;i3339@m39.r33.nalog.ru;-;"Код ОКПО:54627735 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3340;Межрайонная ИФНС России № 10 по Владимирской области;3329026311;332901001;,600031,,,Владимир г,,Суздальский пр-кт,9,,;Тел.справочной службы: +7 (4922) 31-09-88, +7 (4922) 41-16-68;i3340@m40.r33.nalog.ru;-;"Код ОКПО:54630269 Понедельник,среда с 8-30 до 17-30; вторник,четверг с 8-30 до 19-30; пятница с 8-30 до 16-15, без перерыва на обед; первая и третья субботы месяца с 10-00 до 15-00."
3400;УФНС России по Волгоградской области;3442075551;344201001;,400005,,,Волгоград г,,Ленина пр-кт,90,,;(8442) 74-22-44;u34@r34.nalog.ru;www.nalog.ru;"Код ОКПО:39305307 Время работы: с 8.30 до 17.30, Пятн. с 8.30 до 16.30; пер. на обед с 13.00 до 13.48"
3435;ИФНС России по г.Волжскому Волгоградской области;3435111400;343501001;,404130,Волгоградская обл,,Волжский г,,Ленина пр-кт,46,,;(8443) 31-50-91;m35@35.r34.nalog.ru;-;"Код ОКПО:34686718 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,Ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3443;ИФНС России по Дзержинскому району г.Волгограда;3443077223;344301001;,400094,Волгоградская обл,,Волгоград г,,51 Гвардейская ул,38,,;(8442) 74-22-22;m43@m43.r34.nalog.ru;-;"Код ОКПО:22600870 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,Ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3444;ИФНС России по Центральному району г.Волгограда;3444118585;344401001;,400005,Волгоградская обл,,Волгоград г,,7 Гвардейская ул,12,,;(8442) 74-22-22;m44@m44.r34.nalog.ru;-;"Код ОКПО:39305678 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,Ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3452;Межрайонная ИФНС России №2 по Волгоградской области;3441027202;344201001;,400005,,,Волгоград г,,Ленина пр-кт,90,,;(8442) 74-22-22;mri02@mri02.r34.nalog.ru;-;"Код ОКПО:39305543 Время работы: с 8.30 до 17.30, Пятн. с 8.30 до 16.30; пер. на обед с 13.00 до 13.48"
3453;Межрайонная ИФНС России №3 по Волгоградской области;3436014977;343601001;,403874,Волгоградская обл,,Камышин г,,Короленко ул,18,,;(844-57) 9-64-37;mri03@mri03.r34.nalog.ru;-;"Код ОКПО:48076722 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3454;Межрайонная ИФНС России №4 по Волгоградской области;3428984153;342801001;,404143,Волгоградская обл,Среднеахтубинский р-н,,Средняя Ахтуба рп,Ленина ул,38,,;(844-79) 5-14-94,5-13-05;mri04@mri04.r34.nalog.ru;-;"Код ОКПО:50484380 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3455;Межрайонная ИФНС России №5 по Волгоградской области;3403019472;340301001;,403003,Волгоградская обл,Городищенский р-н,,Городище рп,Чуйкова ул,2,,;(844-68) 3-48-27;mri05@mri05.r34.nalog.ru;-;"Код ОКПО:53589872 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед. 1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3456;Межрайонная ИФНС России №6 по Волгоградской области;3437001184;345601001;,403343,Волгоградская обл,,Михайловка г,,Мичурина ул,17а,,;(844-63) 2-42-46;mri06@mri06.r34.nalog.ru;-;"Код ОКПО:39314045 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,Ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3457;Межрайонная ИФНС России №7 по Волгоградской области;3438006555;343801001;,403110,Волгоградская обл,,Урюпинск г,,Ленина пр-т,83,,;(844-42) 4-13-38;mri07@mri07.r34.nalog.ru;-;"Код ОКПО:39313577 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед. 1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3458;Межрайонная ИФНС России №8 по Волгоградской области;3426010758;342601001;,404171,Волгоградская обл,Светлоярский р-н,,Светлый Яр рп,Спортивная ул,16,,;(844-77) 6-92-20;mri08@mri08.r34.nalog.ru;-;"Код ОКПО:34686173 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3459;Межрайонная ИФНС России №9 по Волгоградской области;3442075777;344201001;,400078,Волгоградская обл,,Волгоград г,,Ленина пр-кт,67а,,;(8442) 74-22-22;mri09@mri09.r34.nalog.ru;-;"Код ОКПО:70599748 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3460;Межрайонная ИФНС России №10 по Волгоградской области;3446858585;344601001;,400011,,,Волгоград г,,Богданова ул,2,,;(8442) 74-22-22;mri10@mri10.r34.nalog.ru;-;"Код ОКПО:14748073 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3461;Межрайонная ИФНС России №11 по Волгоградской области;3448202020;344801001;,400080,,,Волгоград г,,Командира Рудь ул,3а,,;(8442) 74-22-22;mri11@mri11.r34.nalog.ru;-;"Код ОКПО:70599783 Время работы с 8-30 до 17-30. Пятн.с 8-30 до 16.30. Обед с 13.00 до 13.48. Время работы ОЗ:Пон.,Ср.-с 09.00 до 18.00;Вт.,Чет.-с 9.00 до 20.00;Пятн.с 9.00 до 16.45;без пер.на обед.1-я и 3-я суб. каждого месяца с 10.00 до 15.00"
3500;УФНС России по Вологодской области;3525145001;352501001;,160000,,,Вологда г,,Герцена ул,1,,;8172-570620;u35@r35.nalog.ru;www.r35.nalog.ru;Код ОКПО:10569646 Пн-Чт: с 8-00 до 12-00, с 13-00 до 17-15 Пт: с 8-00 до 12-00, с 13-00 до 16-00
3525;Межрайонная ИФНС России № 11 по Вологодской области;3525022440;352501001;,160000,Вологодская обл,,Вологда г,,Герцена ул,1,,;8172-570759;i3525@m25.r35.nalog.ru;-;"Код ОКПО:34238144 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Первая и третья суббота месяца: с 10-00 до 15-00"
3528;Межрайонная ИФНС России № 12 по Вологодской области;3528014818;352801001;,162608,Вологодская обл,,Череповец г,,Строителей пр-кт,4-б,,;8202-574233;i3528@m28.r35.nalog.ru;-;"Код ОКПО:22779863 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Вторая и четвертая суббота месяца: с 10-00 до 15-00"
3529;Межрайонная ИФНС России № 1 по Вологодской области;3529000014;352501001;,160029,,,Вологда г,,Горького ул,158,,;8172-285055;i3529@m29.r35.nalog.ru;-;"Код ОКПО:54009517 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Вторая и четвертая суббота месяца: с 10-00 до 15-00"
3532;Межрайонная ИФНС России № 4 по Вологодской области;3501005340;350101001;,162482,Вологодская обл,,Бабаево г,,Юбилейная ул,11,,;81743-21829;i3532@m32.r35.nalog.ru;-;"Код ОКПО:57122823 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Вторая и четвертая суббота месяца: с 10-00 до 15-00"
3533;Межрайонная ИФНС России № 5 по Вологодской области;3503003596;350301001;,161200,Вологодская обл,,Белозерск г,,Сергея Викулова ул,7,,;81756-21156;i3533@m33.r35.nalog.ru;-;"Код ОКПО:57127418 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Третья и четвертая суббота месяца: с 10-00 до 15-00"
3535;Межрайонная ИФНС России № 7 по Вологодской области;3521004144;352101001;,162250,Вологодская обл,,Харовск г,,Советская ул,15,,;81732-22148;i3535@m35.r35.nalog.ru;-;"Код ОКПО:57123610 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Первая и третья суббота месяца: с 10-00 до 15-00"
3536;Межрайонная ИФНС России № 8 по Вологодской области;3523011972;352801001;,162603,Вологодская обл,,Череповец г,,Краснодонцев ул,3,,;8202-233485;i3536@m36.r35.nalog.ru;-;"Код ОКПО:57122071 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Вторая и четвертая суббота месяца: с 10-00 до 15-00"
3537;Межрайонная ИФНС России № 9 по Вологодской области;3527009445;352701001;,162130,Вологодская обл,,Сокол г,,Советская,43,,;81733-22670;i3537@m37.r35.nalog.ru;-;"Код ОКПО:57123840 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Вторая и четвертая суббота месяца: с 10-00 до 15-00"
3538;Межрайонная ИФНС России № 10 по Вологодской области;3526016087;352601001;,162390,Вологодская обл,,Великий Устюг г,,Октябрьский пер,3,,;81738-22599, 81738-21680;i3538@m38.r35.nalog.ru;-;"Код ОКПО:34238138 Пн,Ср: с 8-00 до 18-00; Вт,Чт: с 8-00 до 20-00; Пт: с 8-00 до 16-45; Вторая и четвертая суббота месяца: с 10-00 до 15-00"
3539;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Вологодской области;3525119724;352501001;,160025,,,Вологда г,,Петрозаводская ул,3,,;8172-731249;i3539@m39.r35.nalog.ru;-;"Код ОКПО:10555880 Пн-Чт: с 8-00 до 18-00; Пт: с 8-00 до 16-45"
3600;УФНС России по Воронежской области;3666119484;366601001;,394006,,,Воронеж г,,Карла Маркса ул,46,,;"473-2608708; 473-2608712";u36@r36.nalog.ru;www.nalog.ru;Код ОКПО:31278278 Режим работы: с 9-00 до 18-00, пятница с 9-00 до 16-45. Выходные дни: суббота, воскресенье
3601;Межрайонная ИФНС России № 5 по Воронежской области;3601008881;360101001;,396250,Воронежская обл,Аннинский р-н,,Анна пгт,Советская ул,29,,;"47346-36010; 47346-36000";i360100@r36.nalog.ru;-;"Код ОКПО:10596005 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3604;Межрайонная ИФНС России № 3 по Воронежской области;3604015132;360401001;,397160,Воронежская обл,,Борисоглебск г,,Свободы ул,205,,;"47354-51733; 47354-51728; 47354-51752";i360400@r36.nalog.ru;-;"Код ОКПО:26513903 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3610;Межрайонная ИФНС России № 9 по Воронежской области;3610009112;361001001;,397600,Воронежская обл,,Калач г,,1 Мая ул,5,,;"47363-28515; 47363-28502";i361000@r36.nalog.ru;-;"Код ОКПО:02956688 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3620;Межрайонная ИФНС России № 6 по Воронежской области;3620009150;362001001;,396421,Воронежская обл,,Павловск г,,Революции пр-кт,104,,;"47362-59106; 47362-59121";i362000@r36.nalog.ru;-;"Код ОКПО:57724605 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3627;Межрайонная ИФНС России № 4 по Воронежской области;3627020957;362701001;,396658,Воронежская обл,,Россошь г,,Строителей ул,5,,;"47396-45000; 47396-27589";i362700@r36.nalog.ru;-;"Код ОКПО:02842884 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3628;Межрайонная ИФНС России № 8 по Воронежской области;3628009995;362801001;,396900,Воронежская обл,,Семилуки г,,25 лет Октября ул,120/1,,;"47372-25851; 47372-27969";i362800@r36.nalog.ru;-;"Код ОКПО:10619396 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3629;Межрайонная ИФНС России № 2 по Воронежской области;3629005986;362901001;,397480,Воронежская обл,,,Таловая рп,Советская ул,143,,;"47352-72005; 47352-72012";i362900@r36.nalog.ru;-;"Код ОКПО:72599735 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3652;Межрайонная ИФНС России № 14 по Воронежской области;3652013777;365201001;,397909,Воронежская обл,,Лиски г,,Советская ул,2,,;"47391-28503; 47391-28515";i365200@r36.nalog.ru;-;"Код ОКПО:10627545 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3661;Межрайонная ИФНС России № 13 по Воронежской области;3661039997;366101001;,394042,,,Воронеж г,,Переверткина ул,5А,,;"473-2609790; 473-2609762";i366100@r36.nalog.ru;-;"Код ОКПО:10627556 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3662;ИФНС России по Коминтерновскому району г. Воронежа;3662097776;366201001;,394026,,,Воронеж г,,Варейкиса ул,49,,;"473-2609868; 473-2609900";i366200@r36.nalog.ru;-;"Код ОКПО:34032750 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3663;ИФНС России по Левобережному району г. Воронежа;3663052143;366301001;,394033,,,Воронеж г,,Ленинский пр-кт,92,А,;"473-2222350; 473-2609937";i366300@r36.nalog.ru;-;"Код ОКПО:34032508 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3664;ИФНС России по Ленинскому району г. Воронежа;3664062320;366401001;,394006,,,Воронеж г,,Кирова ул,28,,;"473-2765978; 473-2698427";i366400@r36.nalog.ru;-;"Код ОКПО:35848330 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3665;ИФНС России по Советскому району г. Воронежа;3665047950;366501001;,394038,,,Воронеж г,,Космонавтов ул,8А,,;"473-2609951; 473-2609966";i366500@r36.nalog.ru;-;"Код ОКПО:34025046 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3666;Межрайонная ИФНС России № 1 по Воронежской области;3666120000;366401001;,394030,,,Воронеж г,,Революции 1905 года ул,82,,;"473-2717700; 473-2397608";i366600@r36.nalog.ru;-;"Код ОКПО:10597559 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3667;Межрайонная ИФНС России по крупнейшим налогоплательщикам по Воронежской области;3664062338;366401001;,394018,,,Воронеж г,,9 Января ул,36,,;"473-2553680; 473-2774337";i366700@r36.nalog.ru;-;"Код ОКПО:31271661 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Первая и третья субботы месяца: с 10-00 до 15-00. Остальные субботы, воскресенье: выходные дни."
3668;Межрайонная ИФНС России № 12 по Воронежской области;3666142821;366601001;,394006,,,Воронеж г,,Карла Маркса ул,46,,;"473-2608736; 473-2779569";i366800@r36.nalog.ru;-;"Код ОКПО:81944757 Режим работы: Пн, Ср: с 9-00 до 18-00; Вт, Чт: с 9-00 до 20-00; Пт: с 9-00 до 16-45. Без перерыва. Выходные дни: суббота, воскресенье."
3700;УФНС России по Ивановской области;3728012600;370201001;,153000,,,Иваново г,,Почтовая ул,24,,;4932 31-39-99;u37@nalog.ru;www.r37.nalog.ru;"ОКПО:22810587, Режим работы: понедельнник-четверг с 09-00 до 18-00; пятница с 09-00 до 16-45, обед с 12-15 до 13-00"
3701;Межрайонная ИФНС России № 1 по Ивановской области;3701005323;370101001;,155331,Ивановская обл,,Вичуга г,,Ульяновская ул.,34а,,;49354 2-12-49;i3701@m01.r37.nalog.ru;-;"ОКПО:73218126, Режим работы: понедельник, среда с 09-00 до 18-00; вторник , четверг с 09-00 до 20-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00 без перерыва на обед"
3702;ИФНС России по г.Иваново;3728012590;370201001;,153000,,,Иваново г,,Семеновского пер,10,,;"4932 35-69-66; 4932 35-69-69";i3702@m02.r37.nalog.ru;-;"ОКПО:73218126, Режим работы: понедельник, среда с 09-00 до 18-00; вторник , четверг с 09-00 до 20-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00 без перерыва на обед"
3703;Межрайонная ИФНС России № 5 по Ивановской области;3703005431;370301001;,155800,Ивановская обл,,Кинешма г,,им Ленина ул,40,,;49331 5-28-88;i3703@m03.r37.nalog.ru;-;"ОКПО:75900454, Режим работы: понедельнник, среда с 09-00 до 18-00; вторник, четверг с 09-00 до 20-00; пятница с 09-00 до 16-45; первая и третья суббота месяца с 10.00 до 15.00"
3704;Межрайонная ИФНС России № 2 по Ивановской области;3704004624;370401001;,155040,Ивановская обл,,Тейково г,, Комсомольская 1-я ул,1,,;49343 2-33-21;i3704@m04.r37.nalog.ru;-;"ОКПО:73216848, Режим работы: понедельнник, среда с 09-00 до 18-00; вторник, четверг с 09-00 до 20-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00, без перерыва на обед"
3705;Межрайонная ИФНС России № 4 по Ивановской области;3705003609;370501001;,155500,Ивановская обл,,Фурманов г,,Д.Бедного ул,1а,,;49341 2-30-02;i3705@m05.r37.nalog.ru;-;"ОКПО:75900744, Режим работы: понедельнник, среда с 09-00 до 20-00; вторник, четверг с 09-00 до 18-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00"
3706;Межрайонная ИФНС России № 3 по Ивановской области;3706009650;370601001;,155900,Ивановская обл,,Шуя г,,Ленина ул,1,,;"49351 4-97-79; 49351 2-42-50";i3706@m06.r37.nalog.ru;-;"ОКПО:75900744, Режим работы: понедельнник, среда с 09-00 до 20-00; вторник, четверг с 09-00 до 18-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00"
3711;Межрайонная ИФНС России № 6 по Ивановской области;3711004128;370201001;,153008,,,Иваново г,,Колесанова ул,11,,;4932 42-79-74;i3711@m11.r37.nalog.ru;-;"ОКПО:75900744, Режим работы: понедельнник, среда с 09-00 до 20-00; вторник, четверг с 09-00 до 18-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00"
3720;Межрайонная ИФНС России № 7 по Ивановской области;3720002818;372001001;,155362,Ивановская обл,,Пучеж г,,Производственная 2-я ул,3,,;49345 2-13-47;i3720@m20.r37.nalog.ru;-;"ОКПО:75900744, Режим работы: понедельнник, среда с 09-00 до 20-00; вторник, четверг с 09-00 до 18-00; пятница с 09-00 до 16-45; вторая и четвертая суббота месяца с 10.00 до 15.00"
3800;Управление ФНС России по Иркутской области;3808114068;384901001;,664007,,,Иркутск г,,Декабрьских Событий ул,47,,;(395-2) 28-93-89;u38@r38.nalog.ru;www.r38.nalog.ru;"Код ОКПО:33259813 прием: с понедельника по чеверг с 9.00 до 18.00; пятница с 9.00 до 16.45; выходной: суббота, воскресенье"
3900;УФНС России по Калининградской области;3905012784;390601001;,236010,,,Калининград г,,ул.Каштановая аллея,28,,;"(4012)-990434; (4012)-990390";u39@r39.nalog.ru;www.r39nalog.ru;"Код ОКПО: 22877732. Часы приема налогоплательщиков: пн-чт. 09.00 - 18.00; Пт. 09.00 - 17.00; без перерыва на обед"
3905;Межрайонная ИФНС России № 8 по городу Калининграду;3905051102;390601001;,236010,,,Калининград г,,Победы пр-т,38а,,;"(4012)-997436;(4012)-997466;(4012)-997505";i3905@m05.r39.nalog.ru;-;"Код ОКПО: 15314342. Часы приема налогоплательщиков: Пн,Ср. 09.00 - 18.00; Вт,Чт. 09.00 - 20.00, Пт. 09.00 - 17.00; 2ая и 4ая суббота месяца 10.00 - 15.00, без перерыва на обед"
3906;Межрайонная ИФНС России № 9 по городу Калининграду;3906110008;390601001;,236006,,,Калининград г,,Дачная ул,6,,;"(4012)-596019;(4012)-596024; (4012)-596096;(4012)-596057;";imns3906@m06.r39.nalog.ru;-;"Код ОКПО: 15316298. Часы приема налогоплательщиков: Пн,Ср. 09.00 - 18.00; Вт,Чт. 09.00 - 20.00, Пт. 09.00 - 17.00; 2ая и 4ая суббота месяца 10.00 - 15.00, без перерыва на обед"
3914;Межрайонная ИФНС России № 2 по Калининградской области;3914013576;391401001;,238150,Калининградская обл,,Черняховск г,,Калинина ул,8,,;"(40141)-3-26-46;(40141)-3-00-42;(40161)-3-72-53";i3914@m14.r39.nalog.ru;-;"Код ОКПО: 56114767. Часы приема налогоплательщиков: Пн,Ср. 09.00 - 18.00; Вт,Чт. 09.00 - 20.00, Пт. 09.00 - 17.00; 3я и 4ая суббота месяца 10.00 - 15.00, без перерыва на обед"
